USFWS,JayID,Age,Agen,ID,date_bled,date_oxy,OXYAd,date_drom,dROM_1,dROM_2,dROM_avg
1603-57195,-QGH,Independent,3,1603-57195Independent,5/28/2019,11/16/2019,259.3103448,11/14/2019,2.336955027,2.409572273,2.37326365
1603-57189,-QRG,Independent,3,1603-57189Independent,5/29/2019,11/17/2019,263.2512315,11/14/2019,14.10755054,7.657818732,10.88268464
1603-57172,-QWB,Independent,3,1603-57172Independent,6/4/2019,11/18/2019,247.0935961,11/14/2019,4.918168065,9.585476551,7.251822308
1603-57175,-QRL,Independent,3,1603-57175Independent,6/5/2019,11/19/2019,304.2364532,11/14/2019,9.40063265,6.713794526,8.057213588
1603-57176,-QRH,Independent,3,1603-57176Independent,6/6/2019,11/20/2019,273.8916256,11/14/2019,2.924494567,3.855315637,3.389905102
1603-57195,-QGH,Independent,3,1603-57195Independent,6/6/2019,11/21/2019,298.3251232,11/14/2019,2.336955027,2.409572273,2.37326365
1603-57196,-QGA,Independent,3,1603-57196Independent,6/6/2019,11/22/2019,266.7980296,11/14/2019,7.162701142,6.258286343,6.710493742
1603-57173,-QRP,Independent,3,1603-57173Independent,6/7/2019,11/23/2019,277.8325123,11/14/2019,6.502544354,4.442855178,5.472699766
1603-72815,-QBH,Independent,3,1603-72815Independent,6/11/2019,11/14/2019,256.9458128,11/14/2019,1.907853115,3.888323477,2.898088296
,,,,,,,,,,,
